anio mes dia dia_semana hora_inicio hora_fin actividad_base modalidad centro plazas ocupadas libres tipo_actividad
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Hortaleza 10 9 1 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Hortaleza 5 2 3 uso_libre
2026 1 31 sabado 09:00 09:45 natacion_acondicionamiento ninguna Hortaleza 12 5 7 actividad_dirigida
2026 1 31 sabado 09:00 10:30 uso_sala_multitrabajo ninguna Hortaleza 30 28 2 uso_libre
2026 1 31 sabado 09:00 10:30 uso_sala_multitrabajo ninguna Hortaleza 5 4 1 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Jose_Maria_Cagigal 8 3 5 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre calles_lateral Jose_Maria_Cagigal 8 1 7 uso_libre
2026 1 31 sabado 09:00 10:30 uso_sala_multitrabajo ninguna Jose_Maria_Cagigal 25 22 3 uso_libre
2026 1 31 sabado 09:00 10:00 uso_de vaso_ensenanza Jose_Maria_Cagigal 8 0 8 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Juan_de_Dios_Roman 5 5 0 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Juan_de_Dios_Roman 32 12 20 uso_libre
2026 1 31 sabado 09:00 09:45 carrera_acuatica ninguna La_Almudena 15 14 1 actividad_dirigida
2026 1 31 sabado 09:00 09:15 pruebas_de_nivel_natacion ninguna La_Almudena 3 0 3 prueba_de_nivel
2026 1 31 sabado 09:00 10:30 uso_sala_multitrabajo ninguna La_Elipa 25 24 1 uso_libre
2026 1 31 sabado 09:00 10:00 calistenia ninguna La_Maso 20 0 20 actividad_dirigida
2026 1 31 sabado 09:00 10:00 nado_libre ninguna La_Maso 20 20 0 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna La_Maso 10 7 3 uso_libre
2026 1 31 sabado 09:00 09:30 uso_sala_multitrabajo ninguna La_Maso 12 12 0 uso_libre
2026 1 31 sabado 09:00 10:00 uso_de vaso_ensenanza La_Maso 16 7 9 uso_libre
2026 1 31 sabado 09:00 10:00 entrenamiento_funcional ninguna Marques_de_Samaranch 20 18 2 actividad_dirigida
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Marques_de_Samaranch 24 24 0 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre calles_lateral Marques_de_Samaranch 8 7 1 uso_libre
2026 1 31 sabado 09:00 10:00 uso_de vaso_ensenanza Marques_de_Samaranch 12 5 7 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Orcasitas 60 20 40 uso_libre
2026 1 31 sabado 09:00 10:00 uso_pista_atletismo ninguna Orcasitas 75 3 72 uso_libre
2026 1 31 sabado 09:00 10:30 uso_sala_musculacion ninguna Orcasur 25 19 6 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre bordillo Palomeras 8 8 0 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre calles_central Palomeras 30 9 21 uso_libre
2026 1 31 sabado 09:00 09:45 natacion_acondicionamiento ninguna Palomeras 16 2 14 actividad_dirigida
2026 1 31 sabado 09:00 10:00 uso_pista_atletismo ninguna Palomeras 50 3 47 uso_libre
2026 1 31 sabado 09:00 10:30 uso_sala_multitrabajo ninguna Palomeras 30 30 0 uso_libre
2026 1 31 sabado 09:00 10:00 uso vaso_ensenanza Palomeras 10 1 9 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Plata_y_Castanar 15 14 1 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Plata_y_Castanar 15 4 11 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Playa_Victoria 20 6 14 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Playa_Victoria 40 15 25 uso_libre
2026 1 31 sabado 09:00 10:30 uso_sala_multitrabajo ninguna Playa_Victoria 30 16 14 uso_libre
2026 1 31 sabado 09:00 10:30 uso_sala_multitrabajo ninguna Pradillo 40 38 2 uso_libre
2026 1 31 sabado 09:00 10:30 uso_sala_multitrabajo ninguna Pradillo 2 0 2 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Pueblo_Nuevo 40 0 40 uso_libre
2026 1 31 sabado 09:00 10:00 uso vaso_ensenanza Pueblo_Nuevo 20 0 20 uso_libre
2026 1 31 sabado 09:00 09:45 natacion_acondicionamiento ninguna Raul_Gonzalez 20 0 20 actividad_dirigida
2026 1 31 sabado 09:00 10:00 nado_libre ninguna San_Blas 12 12 0 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna San_Blas 12 7 5 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna San_Blas 12 2 10 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna San_Blas 12 0 12 uso_libre
2026 1 31 sabado 09:00 10:30 uso_sala_multitrabajo ninguna San_Cristobal 88 55 33 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre calles_central Triangulo_de_Oro 40 9 31 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre calles_bordillo Triangulo_de_Oro 20 4 16 uso_libre
2026 1 31 sabado 09:00 10:30 uso_sala_multitrabajo ninguna Triangulo_de_Oro 80 66 14 uso_libre
2026 1 31 sabado 09:00 10:30 uso_sala_multitrabajo ninguna Vicente_del_Bosque 25 20 5 uso_libre
2026 1 31 sabado 09:00 10:00 nado_libre ninguna Wilfred_Agbonavbare 60 15 45 uso_libre
2026 1 31 sabado 09:15 10:00 fitness ninguna Antonio_Diaz_Miguel 23 9 14 actividad_dirigida
2026 1 31 sabado 09:15 09:45 matronatacion ninguna Antonio_Diaz_Miguel 8 1 7 actividad_dirigida
2026 1 31 sabado 09:15 10:00 natacion_acondicionamiento ninguna Barajas 16 8 8 actividad_dirigida
2026 1 31 sabado 09:15 10:00 cubogym_cross_training_funcional ninguna El_Espinillo 12 10 2 actividad_dirigida
2026 1 31 sabado 09:15 10:00 natacion_acondicionamiento ninguna Gallur 12 7 5 actividad_dirigida
2026 1 31 sabado 09:15 09:30 pruebas_de_nivel_natacion ninguna La_Almudena 3 0 3 prueba_de_nivel
2026 1 31 sabado 09:15 10:00 natacion_acondicionamiento ninguna La_Maso 15 14 1 actividad_dirigida
2026 1 31 sabado 09:15 10:15 nado_libre ninguna Las_Cruces 20 9 11 uso_libre
2026 1 31 sabado 09:15 10:45 uso_sala_musculacion ninguna Las_Cruces 90 72 18 uso_libre
2026 1 31 sabado 09:20 10:20 nado_libre ninguna Francisco_Fernandez_Ochoa 70 24 46 uso_libre
2026 1 31 sabado 09:30 10:30 nado_libre calles_central Barajas 24 24 0 uso_libre
2026 1 31 sabado 09:30 11:30 uso_rocodromo ninguna Eva_Duarte 4 0 4 uso_libre
2026 1 31 sabado 09:30 11:00 uso_sala_musculacion ninguna Francisco_Fernandez_Ochoa 130 72 58 uso_libre
2026 1 31 sabado 09:30 11:00 uso_sala_multitrabajo ninguna Fuente_del_Berro 13 0 13 uso_libre
2026 1 31 sabado 09:30 10:30 nado_libre ninguna Gallur 5 5 0 uso_libre
2026 1 31 sabado 09:30 10:30 nado_libre ninguna Gallur 30 24 6 uso_libre
2026 1 31 sabado 09:30 10:30 nado_libre bordillo Gallur 5 3 2 uso_libre
2026 1 31 sabado 09:30 10:30 nado_libre central Gallur 10 0 10 uso_libre
2026 1 31 sabado 09:30 11:00 sala_musculacion ninguna Gallur 10 8 2 uso_libre
2026 1 31 sabado 09:30 11:00 uso_sala_musculacion ninguna Gallur 20 20 0 uso_libre
2026 1 31 sabado 09:30 10:30 nado_libre ninguna Jose_Maria_Cagigal 8 3 5 uso_libre
2026 1 31 sabado 09:30 10:30 nado_libre ninguna La_Almudena 10 10 0 uso_libre
2026 1 31 sabado 09:30 09:45 pruebas_de_nivel_natacion ninguna La_Almudena 3 0 3 prueba_de_nivel
2026 1 31 sabado 09:30 10:00 uso_sala_multitrabajo ninguna La_Maso 12 10 2 uso_libre
2026 1 31 sabado 09:30 11:00 uso_musculacion_los_caprichos ninguna Los_Caprichos 5 2 3 uso_libre
2026 1 31 sabado 09:30 10:15 fitness_acuatico ninguna Pradillo 18 15 3 actividad_dirigida
2026 1 31 sabado 09:30 11:00 uso_sala_multitrabajo ninguna Pueblo_Nuevo 15 0 15 uso_libre
2026 1 31 sabado 09:30 10:30 nado_libre ninguna San_Blas 12 6 6 uso_libre
2026 1 31 sabado 09:30 10:15 ciclo_sala ninguna Torrespana 8 7 1 actividad_dirigida
2026 1 31 sabado 09:30 10:30 gimnasia_suave ninguna Torrespana 12 10 2 actividad_dirigida
2026 1 31 sabado 09:30 11:00 uso_sala_multitrabajo ninguna Torrespana 6 6 0 uso_libre
2026 1 31 sabado 09:45 11:45 triatlon_por_madrid ninguna Casa_de_Campo 20 4 16 actividad_dirigida
2026 1 31 sabado 09:45 10:30 natacion_acondicionamiento ninguna Hortaleza 12 10 2 actividad_dirigida
2026 1 31 sabado 09:45 10:15 entrenamiento_trx ninguna La_Almudena 6 5 1 actividad_dirigida
2026 1 31 sabado 09:45 11:15 uso_sala_musculacion ninguna La_Fundi 30 29 1 uso_libre
2026 1 31 sabado 09:45 10:30 aletas_acondicionamiento ninguna Palomeras 16 1 15 actividad_dirigida
2026 1 31 sabado 09:45 10:15 matronatacion ninguna Raul_Gonzalez 4 0 4 actividad_dirigida
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Alfredo_Goyeneche 30 24 6 uso_libre
2026 1 31 sabado 10:00 11:00 uso_de vaso_ensenanza Alfredo_Goyeneche 7 0 7 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Aluche 10 10 0 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Aluche 20 14 6 uso_libre
2026 1 31 sabado 10:00 11:30 uso_sala_multitrabajo ninguna Aluche 45 45 0 uso_libre
2026 1 31 sabado 10:00 11:00 ciclo_sala_virtual ninguna Antonio_Diaz_Miguel 15 14 1 actividad_dirigida
2026 1 31 sabado 10:00 12:00 autoproteccion_para_las_mujeres ninguna Barajas 12 12 0 actividad_dirigida
2026 1 31 sabado 10:00 11:30 uso_sala_musculacion ninguna Barajas 35 35 0 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre ninguna Blanca_Fernandez_Ochoa 20 14 6 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre calles_intermedia Centro_Integrado_Arganzuela 10 10 0 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre calles_intermedia Centro_Integrado_Arganzuela 10 9 1 uso_libre
2026 1 31 sabado 10:00 11:00 nado_libre calles_lateral Centro_Integrado_Arganzuela 8 8 0 uso_libre
